category,value,key
actions,のせる,掛け非自立可能+下一段-カ行
actions,のせる,かけ非自立可能+下一段-カ行
actions,のせる,被せる
actions,のせる,かぶせ一般+下一段-サ行
actions,のせる,かぶせ一般+五段-ラ行
actions,のせる,のる
actions,のせる,乗る
actions,のせる,載る
actions,のせる,E:top
actions,のせる,E:place
actions,のせる,E:on top
actions,のせる,E:with
actions,のせる,E:on
actions,のせる,E:put
actions,はずす,はずす
actions,はたく,はたく
actions,はたく,払う
actions,はたく,はらう
actions,はたく,ふるい落とす
actions,はたく,E:dust
actions,はたく,E:coat
actions,ひっかく,ひっかく
actions,ひっかく,引っかく
actions,ひっかく,引っ掻く
actions,ひっかく,E:scratch
actions,ふやかす,ふやか一般+五段-サ行
actions,ふやかす,ふやける
actions,ふやかす,E:soak
actions,ふやかす,E:soften
actions,ふやかす,E:beans
actions,ふやかす,ふやかす
actions,ほぐす,ほぐ一般+五段-サ行
actions,ほぐす,崩一般+五段-サ行
actions,ほぐす,くずす
actions,ほぐす,溶きほぐ一般+五段-サ行
actions,ほぐす,解きほぐす
actions,ほぐす,ときほぐす
actions,ほぐす,割りほぐ一般+五段-サ行
actions,ほぐす,揉みほぐす
actions,ほぐす,解れる
actions,ほぐす,ほぐれる
actions,ほぐす,崩れる
actions,ほぐす,くずれる
actions,ほぐす,E:shred
actions,ほぐす,E:beat
actions,まく,撒く
actions,まく,まく
actions,まく,ばらまく
actions,まぶす,まぶ一般+五段-サ行
actions,まぶす,塗す
actions,まぶす,擦り付ける
actions,まぶす,すりつける
actions,まぶす,つける
actions,まぶす,まぶしつける
actions,まぶす,被せる
actions,まぶす,かぶせ一般+下一段-サ行
actions,まぶす,かぶせ一般+五段-ラ行
actions,まぶす,掛かる
actions,まぶす,かかる
actions,まぶす,被る
actions,まぶす,かぶる
actions,まぶす,E:coat
actions,みじん切,みじん切り
actions,むく,むく
actions,もどす,もど一般+五段-サ行
actions,もどす,戻一般+五段-サ行
actions,もどす,もどる
actions,もどす,戻る
actions,もどす,E:rehydrate
actions,もどす,E:temperature
actions,ゆすぶる,ゆすぶる
actions,ゆすぶる,ゆす一般+五段-ラ行
actions,ゆすぶる,揺する
actions,ゆすぶる,揺る
actions,ゆすぶる,揺り動かす
actions,ゆすぶる,ゆれる
actions,ゆすぶる,揺れる
actions,ゆすぶる,振一般+五段-ラ行
actions,ゆすぶる,ふ一般+五段-ラ行
actions,ゆすぶる,振れる
actions,ゆすぶる,ふれる
actions,ゆすぶる,揺らす
actions,ゆすぶる,ゆらす
actions,ゆすぶる,E:shake
actions,ゆすぶる,E:rock
actions,ゆすぶる,E:swing
actions,よそう,よそ一般+五段-ワア行
actions,よそう,盛り付け一般+下一段-カ行
actions,よそう,盛りつけ一般+下一段-カ行
actions,よそう,盛り付け一般+下一段-ガ行
actions,よそう,盛り付け一般+五段-ラ行
actions,よそう,もり付ける
actions,よそう,もりつける
actions,よそう,盛一般+五段-ラ行
actions,よそう,もる
actions,よそう,盛り付け普通名詞-一般+
actions,よそう,E:serve
actions,わける,わける
actions,わける,分け一般+下一段-カ行
actions,わける,別ける
actions,わける,切り分け一般+下一段-カ行
actions,わける,切りわける
actions,わける,わかれる
actions,わける,分かれる
actions,わける,別れる
actions,わける,分割普通名詞-サ変可能+
actions,わける,E:divide
actions,わける,E:separate
actions,わける,E:share
actions,握る,握一般+五段-ラ行
actions,握る,にぎる
actions,握る,握れる
actions,握る,E:shape
actions,握る,E:squeeze
actions,引く,引一般+五段-カ行
actions,引く,ひ一般+五段-カ行
actions,引く,E:pull
actions,引く,E:draw
actions,押し出す,押し出す
actions,押し出す,押しだす
actions,押し出す,おしだす
actions,押し出す,E:push
actions,押し出す,E:squeeze
actions,押す,押一般+五段-サ行
actions,押す,おす
actions,押す,押さえ一般+下一段-ア行
actions,押す,おさえる
actions,押す,押さえつける
actions,押す,押せる
actions,押す,E:push
actions,押す,E:press
actions,下げる,下げ一般+下一段-ガ行
actions,下げる,さげる
actions,下げる,下がる
actions,下げる,さがる
actions,下げる,E:lower
actions,下げる,下げる
actions,加熱する,加熱
actions,開く,開一般+五段-カ行
actions,開く,ひらく
actions,開く,あく
actions,開く,切り開く
actions,開く,切開く
actions,開く,開け一般+下一段-カ行
actions,開く,あけ一般+下一段-カ行
actions,開く,押し開く
actions,開く,E:open
actions,外す,外一般+五段-サ行
actions,外す,はず一般+五段-サ行
actions,外す,取り外す
actions,外す,取外す
actions,外す,取りはずす
actions,外す,とりはずす
actions,外す,外れる
actions,外す,はずれる
actions,外す,E:remove
actions,割る,割一般+五段-ラ行
actions,割る,わる
actions,割る,割れる
actions,割る,われる
actions,割る,E:chop
actions,割る,E:divide
actions,割る,E:split
actions,滑らか,滑らか
actions,乾く,乾く
actions,乾く,かわく
actions,乾く,乾かす
actions,乾く,かわかす
actions,乾く,干す
actions,乾く,乾す
actions,乾く,ほす
actions,乾く,E:dry
actions,巻く,巻一般+五段-カ行
actions,巻く,まく
actions,巻く,巻き込む
actions,巻く,巻きこむ
actions,巻く,まきこむ
actions,巻く,巻き上げる
actions,巻く,E:wrap
actions,巻く,E:roll
actions,慣らす,慣らす
actions,換える,換える
actions,換える,替える
actions,換える,かえる
actions,換える,取り換える
actions,換える,取り替える
actions,換える,取替える
actions,換える,取りかえる
actions,換える,とりかえる
actions,換える,入れ替える
actions,換える,いれかえる
actions,換える,置き換える
actions,換える,持ち替える
actions,換える,入れ直す
actions,換える,E:change
actions,換える,E:alter
actions,換える,E:turn
actions,換える,E:then
actions,換える,E:substituted
actions,換える,E:re-wrap
actions,換える,E:re-apply
actions,丸める,丸め一般+下一段-マ行
actions,丸める,まるめる
actions,丸める,丸まる
actions,丸める,かたちづくる
actions,丸める,形づくる
actions,丸める,形作る
actions,丸める,成形する
actions,丸める,成型する
actions,丸める,成型普通名詞-サ変可能+
actions,丸める,成形普通名詞-サ変可能+
actions,丸める,纏める
actions,丸める,まとめ一般+下一段-マ行
actions,丸める,纏まる
actions,丸める,まとまる
actions,丸める,丸まる
actions,丸める,E:ball
actions,丸める,E:roll
actions,含める,含む
actions,寄せる,寄せ一般+下一段-サ行
actions,寄せる,よせる
actions,寄せる,集める
actions,寄せる,あつめる
actions,寄せる,寄る
actions,寄せる,よる
actions,寄せる,集まる
actions,寄せる,あつまる
actions,寄せる,E:let
actions,寄せる,E:come near
actions,寄せる,E:move
actions,寄せる,E:draw up
actions,掬う,掬う
actions,掬う,すく一般+五段-ワア行
actions,掬う,すくえる
actions,掬う,すくいだす
actions,掬う,とりのぞく
actions,掬う,取り除一般+五段-カ行
actions,掬う,すくいあげる
actions,掬う,除く
actions,掬う,のぞく
actions,掬う,E:ladle
actions,詰める,詰め
actions,詰める,詰める
actions,詰め込む,詰め込む
actions,詰め込む,詰めこむ
actions,詰め込む,つめこむ
actions,詰め込む,詰め一般+下一段-マ行
actions,詰め込む,詰る
actions,詰め込む,つめ一般+下一段-マ行
actions,詰め込む,押し込める
actions,詰め込む,押し詰める
actions,詰め込む,詰め込める
actions,詰め込む,押し込む
actions,詰め込む,詰まる
actions,詰め込む,つまる
actions,詰め込む,E:gaps
actions,詰め込む,E:pack
actions,詰め込む,E:stuff
actions,詰め込む,E:jam
actions,詰め込む,E:cram
actions,吸い込む,吸い込む
actions,吸い込む,吸いこむ
actions,吸い込む,すいこむ
actions,吸い込む,吸い取る
actions,吸い込む,すいとる
actions,吸い込む,吸う
actions,吸い込む,すう
actions,吸い込む,吸い上げる
actions,吸い込む,E:absorb
actions,強める,強める
actions,強める,つよめる
actions,強める,E:heat
actions,挟む,挟一般+五段-マ行
actions,挟む,はさ一般+五段-マ行
actions,挟む,挟み込む
actions,挟む,はさみこむ
actions,挟む,差し込む
actions,挟む,さしこむ
actions,挟む,挟める
actions,挟む,はさめる
actions,挟む,挟まる
actions,挟む,E:sandwich
actions,挟む,E:put
actions,挟む,挟む
actions,均等,均一
actions,均等,均等
actions,繰り返す,繰り返一般+五段-サ行
actions,繰り返す,繰返す
actions,繰り返す,繰りかえす
actions,繰り返す,くりかえす
actions,繰り返す,E:repeat
actions,繰り返す,繰り返す
actions,型どる,型どる
actions,型どる,かたどる
actions,型どる,E:dress
actions,結ぶ,結ぶ
actions,結ぶ,縛る
actions,結ぶ,しばる
actions,結ぶ,結う
actions,結ぶ,くくる
actions,結ぶ,E:tie
actions,見る,見非自立可能+上一段-マ行
actions,見る,み非自立可能+上一段-マ行
actions,見る,E:see
actions,見る,E:check
actions,見る,E:look
actions,見る,E:appears
actions,減らす,減らす
actions,減らす,へらす
actions,減らす,減じる
actions,減らす,減る
actions,減らす,へる
actions,減らす,E:reduce
actions,減らす,E:drecrease
actions,絞る,絞る
actions,降ろす,降ろす
actions,降ろす,下ろ一般+五段-サ行
actions,降ろす,下す
actions,降ろす,おろ一般+五段-サ行
actions,降ろす,離す
actions,降ろす,降りる
actions,降ろす,E:drop
actions,降ろす,E:drop off
actions,合わせる,合わせ
actions,合わせる,あわせ
actions,合わせる,あわせる
actions,合わせる,合わせる
actions,刻む,刻む
actions,混ぜる,混ぜる
actions,混ぜる,混ざる
actions,混ぜる,まぜる
actions,混合,混合
actions,塞ぐ,塞ぐ
actions,塞ぐ,ふさぐ
actions,塞ぐ,塞がる
actions,塞ぐ,ふさがる
actions,塞ぐ,E:block
actions,塞ぐ,E:close up
actions,塞ぐ,E:occupy
actions,塞ぐ,E:stop up
actions,塞ぐ,E:take up
actions,塞ぐ,E:fill up
actions,砕く,砕一般+五段-カ行
actions,砕く,くだく
actions,砕く,砕ける
actions,砕く,くだける
actions,砕く,E:break
actions,砕く,E:smash
actions,作る,作一般+五段-ラ行
actions,作る,つく一般+五段-ラ行
actions,作る,作れる
actions,作る,つくれる
actions,作る,E:make
actions,削る,削る
actions,削る,けずる
actions,削る,削ぐ
actions,削る,そぐ
actions,削る,削ぎ落す
actions,削る,こそぎ落とす
actions,削る,削げる
actions,削る,こそげる
actions,削る,削り取る
actions,削る,こそぐる
actions,削る,E:grate
actions,搾る,搾る
actions,搾る,絞一般+五段-ラ行
actions,搾る,しぼ一般+五段-ラ行
actions,搾る,絞り出す
actions,搾る,絞りだす
actions,搾る,E:squeeze
actions,捌く,捌く
actions,捌く,さばく
actions,捌く,おろ一般+五段-サ行
actions,捌く,E:cut
actions,散る,散る
actions,散る,ちる
actions,散る,E:dispersed
actions,散る,E:splatter
actions,残す,残す
actions,残す,残り
actions,残す,残る
actions,仕上げる,仕上げる
actions,使う,使一般+五段-ワア行
actions,使う,使え一般+下一段-ア行
actions,使う,使用普通名詞-サ変可能+
actions,使う,利用普通名詞-サ変可能+
actions,使う,E:use
actions,使う,使う
actions,使う,使用
actions,刺す,刺一般+五段-サ行
actions,刺す,さ一般+五段-サ行
actions,刺す,突き刺す
actions,刺す,つきさす
actions,刺す,刺さる
actions,刺す,ささる
actions,刺す,刺し通す
actions,刺す,刺せる
actions,刺す,させる
actions,刺す,E:stick
actions,始める,始める
actions,止める,止める
actions,捨てる,捨て一般+下一段-タ行
actions,捨てる,棄てる
actions,捨てる,すてる
actions,捨てる,E:discard
actions,捨てる,E:drain
actions,煮る,煮一般+上一段-ナ行
actions,煮る,煮一般+五段-ラ行
actions,煮る,にる
actions,煮る,煮詰め一般+下一段-マ行
actions,煮る,煮詰め一般+下一段-カ行
actions,煮る,煮つめる
actions,煮る,煮詰まる
actions,煮る,煮つまる
actions,煮る,煮立てる
actions,煮る,煮たてる
actions,煮る,煮切る
actions,煮る,煮きる
actions,煮る,煮含める
actions,煮る,煮上がる
actions,煮る,煮つける
actions,煮る,煮詰る
actions,煮る,煮込一般+五段-マ行
actions,煮る,煮込一般+五段-マ行
actions,煮る,煮立つ
actions,煮る,煮える
actions,煮る,にえる
actions,煮る,E:simmer
actions,煮る,E:braise
actions,煮る,E:stew
actions,煮る,E:boil
actions,弱める,弱め一般+下一段-マ行
actions,弱める,よわめる
actions,弱める,細める
actions,弱める,ほそめる
actions,弱める,弱る
actions,弱める,よわる
actions,弱める,弱まる
actions,弱める,よわまる
actions,弱める,E:heat
actions,取り出す,取り出一般+五段-サ行
actions,取り出す,取出す
actions,取り出す,取りだす
actions,取り出す,とりだす
actions,取り出す,E:remove
actions,取り出す,E:take
actions,取り出す,取り出す
actions,取り出す,取出し
actions,取り除く,取り除く
actions,取り置く,取り置く
actions,取り分ける,取り分ける
actions,取る,のぞく
actions,取る,とり除く
actions,取る,とりのぞく
actions,取る,取り除ける
actions,取る,取り落す
actions,取る,取り去る
actions,取る,取れる
actions,取る,取る
actions,取る,とれる
actions,取る,とる
actions,手順,手順
actions,終わる,終わる
actions,十分,十分
actions,重ねる,重ね一般+下一段-ナ行
actions,重ねる,かさねる
actions,重ねる,重なる
actions,重ねる,E:pile up
actions,重ねる,重ねる
actions,出す,出非自立可能+五段-サ行
actions,出す,E:remove
actions,出す,E:out
actions,出す,E:take
actions,出す,E:take out
actions,出す,E:get out
actions,出す,出す
actions,出来る,出来る
actions,出来上がる,出来上がる
actions,準備,準備
actions,順,順
actions,書ける,書ける
actions,焼く,焼一般+五段-カ行
actions,焼く,焼一般+五段-カ行
actions,焼く,やく
actions,焼く,焼き上げる
actions,焼く,やきあげる
actions,焼く,焼き付ける
actions,焼く,焼付ける
actions,焼く,焼きつける
actions,焼く,焼け一般+下一段-カ行
actions,焼く,E:bake
actions,焼く,E:broil
actions,焼く,E:grill
actions,焼く,E:roast
actions,焼く,E:pan-broil
actions,焼く,E:brown
actions,焼く,E:toast
actions,焦げる,焦げる
actions,焦げる,こげる
actions,焦げる,焦げ付く
actions,焦げる,焦げつく
actions,焦げる,こげ付く
actions,焦げる,こげつく
actions,焦げる,焦がす
actions,焦げる,こがす
actions,焦げる,E:burn
actions,焦げる,E:singe
actions,焦げる,E:sear
actions,上げる,上げ非自立可能+下一段-ガ行
actions,上げる,あげ非自立可能+下一段-ガ行
actions,上げる,上がる
actions,上げる,あがる
actions,上げる,あけ一般+下一段-カ行
actions,上げる,E:raise
actions,上げる,E:lift
actions,乗せる,のせる
actions,乗せる,乗せる
actions,常温,常温
actions,蒸す,蒸一般+五段-サ行
actions,蒸す,むす
actions,蒸す,蒸ら一般+五段-サ行
actions,蒸す,むらす
actions,蒸す,蒸かす
actions,蒸す,ふかす
actions,蒸す,E:steam
actions,拭く,拭一般+五段-カ行
actions,拭く,ふ一般+五段-カ行
actions,拭く,拭き取一般+五段-ラ行
actions,拭く,ふきとる
actions,拭く,ふき取る
actions,拭く,拭う
actions,拭く,ぬぐう
actions,拭く,ぬぐい取る
actions,拭く,拭き込む
actions,拭く,E:wipe
actions,拭く,E:dry
actions,伸ばす,伸ば一般+五段-サ行
actions,伸ばす,伸す
actions,伸ばす,延ば一般+五段-サ行
actions,伸ばす,のば一般+五段-サ行
actions,伸ばす,伸ばせる
actions,伸ばす,伸びる
actions,伸ばす,延びる
actions,伸ばす,のびる
actions,伸ばす,E:roll out
actions,伸ばす,E:roll
actions,伸ばす,E:stretch
actions,伸ばす,E:flatten
actions,伸ばす,E:dough
actions,伸ばす,伸ばす
actions,寝かせる,寝かせ一般+五段-ラ行
actions,寝かせる,寝か一般+五段-サ行
actions,寝かせる,ねかせる
actions,寝かせる,ねかす
actions,寝かせる,休む
actions,寝かせる,やすむ
actions,寝かせる,寝る
actions,寝かせる,お非自立可能+五段-カ行
actions,寝かせる,休める
actions,寝かせる,ねせる
actions,寝かせる,置非自立可能+五段-カ行
actions,寝かせる,置ける
actions,寝かせる,寝せる
actions,寝かせる,休一般+五段-マ行マ行サ行
actions,寝かせる,E:rest
